rpas_id,country,manufacturer,mfc_model,mtow,length,width,height,max_speed,distance_range,flight_time,max_payload_weight,max_alt,comm_range,power_source,power,gps_accuracy,engine,configuration,flight_cont,materials,min_op_temp,max_op_temp,oas,price,reg,def_payload,purpose,source
51,China,Autel Robotics,Autel Robotics Dragonfish Standard,9000,1290,2300,460,30,,126,1500,6000,100000,battery,277.2 WH,1,,5,,,-20,50,yes,100000,Drone License,camera,monitoring,https://www.autelrobotics.com/productdetail/dragonfish-series-drones/
52,China,Autel Robotics,Autel Robotics Dragonfish Pro,17000,1650,3040,460,30,,158,2500,6000,100000,battery,17800,1,,5,,,-20,50,yes,179899,Drone License,camera,monitoring,https://www.autelrobotics.com/productdetail/dragonfish-series-drones/
53,China,Autel Robotics,Autel Robotics Autel Titan,,,,,23,,60,10000,7000,20000,battery,,,,4,,,,,,,Drone License,box,logistics,https://www.autelpilot.com/blogs/news/first-autel-titan-delivery-drone-launches
54,Netherlands,Avular,Avular Vertex One,3800,454,250,340,,,25,650,,1000,battery,8400,50,BLDC,4,Avular Prime (ARM Cortex – M7),carbon fiber,,,Yes,609,Drone License,,,https://avular.com/drones/drones-specs
55,China,Zhuoyi Droneeye,Zhuoyi Droneeye TS-A12,25000,,,,11,300,1440,0,300,300,AC,380 V,100,,6,,carbon fiber,-40,55,no,,Drone License,fire extinguishing device thrrowing device floodlight,firefighting,http://en.droneyee.com/droneDetail/184
56,United States,brinc drones,brinc drones Lemur 2,1500,332,405,99,21,,20,453,,5000,battery,9000,,BLDC,4,Lemur 2 control,carbon fiber reinforced nylon,-20,45,yes,7500,Drone License,thermal camera camera droper glass breaker,monitoring,https://brincdrones.com/lemur-2/
57,United States,Cleo,Cleo Dronut X1 Pro,420,177,177,100,,,17,,,1500,battery,,,bi-copter,2,AES 256,,,,,28000,Drone License,camera LiDAR,mapping,https://cleorobotics.com/product/
58,United Kingdom,Clogworks,Clogworks Dark Matter hX Gen 2,18000,1565,1432,650,20,,32,6000,,10000,battery,5854,,BLDC,6,Cube Pilot ArduPilot,carbon fiber,-20,45,yes,,Drone License,camera. LiDAR,mapping industry,https://www.clogworks.com/how-does-the-dark-matter-hx-gen2-compare-as-a-m600-alternative
59,South Korea,Doosan Mobility,Doosan Mobility DS30W,24900,1850,1850,815,,50000,,3000,,,fuel,2700 W,,Hydrogen Fuel Cell Powerpack,4,pixhawk,,-5,40,yes,3800,Drone License,camera infrared camera LiDAR Multispectral,mapping,https://www.doosanmobility.com/en/products/drone-ds30
60,South Korea,Doosan Mobility,Doosan Mobility Dj25,31000,2093,4352,722,22,450000,330,4000,3500,,fuel,,,Hydrogen Fuel Cell Powerpack,5,,,,,,,SFOC,camera,mapping,https://www.doosanmobility.com/en/products/drone-dj25
61,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander 3 XL,25000,1620,1600,300,20,,20,10000,2438,2000,battery,16000,,BLDC,4,,carbon fiber,-25,38,,,Drone License,camera,Industrial,https://draganfly.com/commander-3-xl/
62,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander2,3750,873,873,295.6,18,,30,1000,2438,,battery,,,BLDC,4,,carbon fiber,,,,,Drone License,RGB Multispectral Thermal IR and Hyperspectra,Industrial,https://draganfly.com/draganflyer-commander2/
63,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Heavy Lift Drone,44000,3168,3168,770,22,30000,18,30000,,20000,battery,100000,,BLDC,8,,carbon fiber,,,,,SFOC,heavy sensors logistics,Industrial,https://draganfly.com/products/heavy-lift/
64,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Starling X.2,25000,1626,1600,305,15,27000,18,10000,,2000,battery,16000,,BLDC,4,,carbon fiber,-25,38,,,Drone License,screen,promotion warning,https://draganfly.com/starling-x2/
65,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander 3 XL Hybrid,25000,1626,1600,300,20,,180,4000,2438,vary,hybrid,3500 W,,70cc 2stroke Ignite,4,,,-25,38,,,Drone License,box,delivery industrial,https://draganfly.com/commander-3xl-hybrid/
66,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Quantix Mapper Hybrid VTOL,,,975,,20,,45,,2286,50000,battery,,,,5,,,,,,,Drone License,camera multispectral,mapping,https://draganfly.com/wp-content/uploads/2022/10/Draganfly-Quantix-Specifications.pdf
67,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander,3750,873,873,294.6,14,,25,1000,,2000,battery,,,BLDC,4,pix4d,carbon fiber,-24,38,,,Drone License,camera FLIR multispectral,mapping,https://draganfly.com/wp-content/uploads/2020/04/Draganflyer-Commander-v1.2.pdf
68,India,Drona Aviation,Drona Aviation Pluto X,,,,,,,7,15,,60,battery,,,BLDC,4,,,,,,,,camera,recreational,https://www.dronaaviation.com/plutox/
69,United States,Drone America,Drone America NavX,11300,800,800,,15,,25,,3657,,,,,,8,,carbon fiber plastics,,,,,Drone License,camera,aerial imaging,https://www.droneamerica.com/navx/
70,United States,Drone America,Drone America HuginnAir,38500,,4720,,53,,510,6800,5486,,Gas Electric Hybrid,,,,5,autonomous,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
71,United States,Drone America,Drone America Ariel,454000,4800,6800,,44,1046000,600,158757,5486,,multifuel,,,,0,,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
72,United States,Drone America,Drone America Phoebus,226700,3810,7920,,44,563000,420,226796,5486,,multifuel,,,,0,,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
73,United States,Drone America,Drone America Savant,18140,1700,3580,,38,104607,90,3100,3657,,electric,,,,5,,,,,yes,,Drone License,camera,commercial,https://www.droneamerica.com/savant/
74,France,Drone Volt,Drone Volt Hercules 10,,900,900,560,25,52500,20,7500,,2000,battery,,,BLDC,8,DV Control,carbon fiber anodized aluminum,-20,45,yes,,Drone License,camera winch,commercial,https://www.dronevolt.com/en/expert-solutions/hercules-10/#
75,France,Drone Volt,Drone Volt Hercules 20,,1000,1000,600,25,,20,15000,,2000,battery,,,BLDC,8,DV Control,carbon fiber anodized aluminum,-20,45,Yes,,SFOC,logistics camera,delivery spraying,https://www.dronevolt.com/en/expert-solutions/hercules-20/#1596173203065-faef6b38-6034
76,France,Drone Volt,Drone Volt Heliplane LRS240,8000,1150,2400,300,33,,80,1000,4000,,battery,27000,,,5,,carbon composite fiber glass,,,yes,,Drone License,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
77,France,Drone Volt,Drone Volt Heliplane LRS 340,18000,1500,3380,500,33,,150,3000,4000,,battery,30000,,,5,,carbon composite fiber glass,,,yes,,Drone License,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
78,France,Drone Volt,Drone Volt Heliplane LRS Pro Beluga,33000,1950,4150,750,33,,200,10000,5000,80000,battery,30000,,,5,,carbon composite fiber glass,,,yes,,SFOC,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
79,France,Drone Volt,Drone Volt Kobra,15300,820,810,456,20,,30,5000,,12000,battery,22000,,BLDC,4,Nvidia Xavier,,-15,40,Yes,,Drone License,camera infrared LiDAR gas detector,surveillance,https://www.dronevolt.com/en/dronevolt-kobra/
80,Japan,EAMS,EAMS E484MP,10000,845,672,465,22,4000,20,3000,,1000,battery,16000,,BLDC,4,Cube Black,aluminum carbon fiber,,,Yes,,Drone License,camera ,logistics inspection security,https://www.eams-robo.co.jp/products/e484mp/
81,Japan,EAMS,EAMS E6106FLMP2,,1139,1060,550,22,,40,5000,,1000,battery,32000,,BLDC,6,Pixhawk,aluminum carbon fiber,,,Yes,,Drone License,camera logistics box,delivery,https://www.eams-robo.co.jp/products/e6106flmp/
82,Japan,EAMS,EAMS E6150TC,24500,754,2012,2213,12,,,6000,,,battery,,,BLDC,6,Cube,aluminum carbon fiber,0,40,Yes,,Drone License,box,delivery,https://www.eams-robo.co.jp/products/e6150tc/
83,India,Edall Systems,Edall Systems Whitehawk,2500,660,660,660,,,40,,3000,2000,,,,,4,,,-10,50,,,Drone License,camera,mapping,https://edallsystems.com/whitehawk/
84,India,Edall Systems,Edall Systems SPIDEX 600 MKI,2000,630,455,194,10,,35,150,457,2000,battery,129 Wh,,,4,,,-10,50,,,Drone License,camera,mapping,https://edallsystems.com/spidex600mki/
85,India,Edall Systems,Edall Systems NAKSHYA VTOL ,3500,,1600,,18,,90,300,3500,5000,battery,,,,5,,,0,50,,,Drone License,camera,mapping,https://edallsystems.com/nakshya-vtol/
86,Germany,exabotix,exabotix EB-Zelos Mapper,,530,530,150,11,,60,1000,5000,4000,battery,16000,1,BLDC,4,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/zelos-mapper-technical-data/
87,Germany,exabotix,exabotix EB-Mercury Mapper,,900,900,550,14,,25,3500,5000,4000,battery,22000,1,BLDC,6,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/mercury-mapper-technical-data/
88,Germany,exabotix,exabotix EB-Atlas Mapper,,1600,1600,630,12.5,,25,13000,5000,4000,battery,22000,1,BLDC,6,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/atlas-mapper-technical-data/
89,Switzerland,Flyability,Flyability Elios 3,2500,480,480,380,7,,9,0,,,battery,4350,SLAM,BLDC,4,Nvidia Xavier,Carbon fiber - kevlar composites magnesium alloy aeronautical grade aluminum high-quality thermoplastics,0,50,Yes,,SFOC,lidar camera,indoor underground survey,https://nexxis.com.au/wp-content/uploads/2020/11/20220519_E3_Tech_Spec_web_version.pdf
90,Poland,Flyfocus,Flyfocus Polaris,4500,,2200,,30.5,,,0,4000,,,,,,0,,Carbon-glass composite,-20,50,,,Drone License,camera lidar,surveillance,https://flyfocus.pl/product/polaris/
91,Poland,Flyfocus,Flyfocus Lemur VTOL UAV,30000,2166,4700,916,27,,480,0,4000,500000,IC motor,,,Electric or internal combustion with direct injection and starter,5,,Carbon fibre fiberglass,-20,50,,,SFOC,camera,surveillance,https://flyfocus.pl/product/lemur/
92,United States,Freefly,Freefly Alta X,348600,2273,2273,484,10,,22,15900,5000,3200,battery,50400,,BLDC,4,PX4,carbon fiber nylon,-20,45,,19000,SFOC,camera,cinematic mapping,https://freefly.gitbook.io/freefly-public/products/rtk-gps/rtk-specifications#rtk-performance-over-range
93,United States,Freefly,Freefly Astro,6665,1407,1407,359,,,25,1500,,2000,battery,21600,,BLDC,4,PX4,,,,,,,,,
94,Australia,Freespace OperationsTM,Freespace Operation Callisto 50 Multirotor,52000,1400,1400,,25,40000,40,25000,,40000,battery,,,BLDC,8,,,,,,,SFOC,camera,,https://www.freespaceoperations.com.au/callisto-series
95,Australia,Freespace OperationsTM,Freespace Operation Sapphire VTOL,50000,2400,5000,500,36,,720,8000,6000,400000,battery,,,,0,,,,,,,SFOC,camera,,https://www.freespaceoperations.com.au/copy-of-cobalt-vtol
96,India,Garuda Aerospace,Garuda Aerospace Droni,249,167,218,62,10,,30,0,4500,,battery,2250,150,BLDC,4,,,-10,45,,,,camera,,https://www.garudaaerospace.com/droni-named-after-m-s-dhoni/
97,Singapore,Garuda Robotics,Garuda Robotics Cerana ONE Pro,7500,950,950,450,12,30240,42,1200,3000,,battery,10000,,BLDC,4,mRo Control Zero H7,Carbon fiber reinforced polymer,-10,50,yes,,,camera,façade inspections,https://garuda.io/cerana-one-pro/
98,Singapore,Garuda Robotics,Garuda Robotics Cerana X8,24000,,,,,45000,49,8000,,,battery,10000,,BLDC,8,Cube Orange,Carbon fiber other composites and aluminium,,,,,,camera,parcel delivery to asset inspections,https://garuda.io/cerana-x8/
99,Singapore,Garuda Robotics,Garuda Robotics Garuda V220,13500,,,,26,,180,3000,,,battery,22000,,BLDC,fixed wing VTOL,Cube Orange Ardupilot (Ardu Plane) software stack,carbon fiber,,,,50251.3,,,delivery,https://garuda.io/v220/
100,Spain,General Drones,GeneralDrones AUXDron Lifeguard,9500,,,,28,7000,35,,,,,,,,4,,,,,,,,2 Inflatable life vests with a CO2 bottle system,Lifeguard ,https://www.generaldrones.es/servicios/
101,China,GDU Tech,GDU S400E,7000,950,995,424,23,,58,3000,5000,15000,battery,16400,,BLDC,4,,,-20,55,yes,,,camera,,https://www.gdutech.com/DownloadCenter.html
102,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-200X,188000,1695,1695,1150,17,,36,50000,,,battery,,,BLDC,X8,,,,,,,SFOC,,cargo,http://gryphondynamics.co.kr/gd-200x/
103,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-120X,119000,1400,1400,1200,17,,40,30000,,,battery,,,BLDC,X8,,,,,yes,,SFOC,,delivery,http://gryphondynamics.co.kr/rtf-gd-50xu/
104,South Korea,Gryphon Dynamics,Gryphon Dynamics Inspection,,700,700,410,12,,30,,,,battery,16000,,BLDC,X8,,,,,,,,,inspection,http://gryphondynamics.co.kr/inspection/
105,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-23XU,22000,1562,1562,436,17,,30,8000,,,battery,,,BLDC,X8,,carbon fiber aluminium,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-23xu/
106,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-24XM,21500,1267,11267,436,17,,28,8000,,,battery,22000,,BLDC,X8,,carbon aluminium AL60,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-24xm/
107,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-22XM,17500,1227,1227,436,17,,32,5000,,,battery,22000,,BLDC,X8,,carbon aluminium AL61,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-22xm/
108,United States,Harris Aerial,Harris Aerial H6,25000,2363,2363,620,15,,48,8000,3600,20000,battery,16000,,BLDC,6,Cube Orange,,-20,49,yes,,,camera,carrier,https://harrisaerial.com/wp-content/uploads/2023/08/H6-Electric-DataSheet.pdf
109,United States,Harris Aerial,Harris Aerial Hx8,25000,2425,2425,663,15,,48,8000,3658,20000,battery,16000,,BLDC,X8,Cube Orange,,-20,49,yes,,,,carrier,https://www.harrisaerial.com/wp-content/uploads/2023/08/Hx8-DataSheet.pdf
110,United States,Harris Aerial,Harris Aerial H6HL,95000,3167,3167,700,28,,45,40000,3658,20000,battery,30000,,BLDC,6,Cube Orange,,-20,49,yes,,SFOC,,heavy lift,https://harrisaerial.com/wp-content/uploads/2023/08/H6-HL-DataSheet.pdf
111,Switzerland,Leica Geosystems,Leica BLK2FLY,2600,530,600,190,5,,10,0,1800,45000,battery,6750,,BLDC,4,,,,,yes,62155,none,lidar,lidar scanner,https://shop.leica-geosystems.com/leica-blk/blk2fly/tech-specs
112,Israel,Heven Drones,Heven Drones URBAN,25000,1195,1195,600,20,,37,10000,,,battery,40000,,BLDC,6,,,,,,,,,,https://hevendrones.com/product/urban/
